Run,StartObs,SampleSize,DetDensity,IndetDensity
1,1,1000,-462.151210480126,-456.850705742735
2,1001,1000,-469.758299839865,-471.767035536512
3,2001,1000,0,0
4,3001,1000,-407.214124262243,-406.269019202535
5,4001,1000,-453.230648059771,-452.925055906066
6,5001,1000,-391.908878145227,-393.17568495131
7,6001,1000,0,0
8,7001,1000,-448.801380501993,-449.58476164628
9,8001,1000,-441.983922556339,-432.337619107935
10,9001,1000,-423.382521584826,-430.568343588154
