version,progress,y_lag,Epi_lead,Rsq_Epi
0.0,0.0,0.0,0.0,0.0
1.0,1.0,-3.5,-0.036506089181738643,-0.2628461798131696
1.0,1.0,-3.0,-0.034795573261947266,-0.2628461798131696
1.0,1.0,-2.5,-0.03308505734215583,-0.2628461798131696
1.0,1.0,-2.0,-0.031374541422364566,-0.2628461798131696
1.0,1.0,-1.5,-0.029664025502573188,-0.2628461798131696
1.0,1.0,-1.0,-0.027953509582781866,-0.2628461798131696
1.0,1.0,-0.5,-0.012822747345246327,-0.2628461798131696
1.0,1.0,0.0,0.01629535501990162,-0.2628461798131696
1.0,1.0,0.5,0.13310711701905775,-0.2628461798131696
1.0,1.0,1.0,0.25620781750143934,-0.2628461798131696
1.0,1.0,1.5,0.37714486330118474,-0.2628461798131696
1.0,1.0,2.0,0.4960029065067686,-0.2628461798131696
1.0,1.0,2.5,0.6159040339173989,-0.2628461798131696
1.0,1.0,3.0,0.7385736812274997,-0.2628461798131696
1.0,1.0,3.5,0.8620970320820203,-0.2628461798131696
1.0,2.0,-3.5,-0.6217750039233962,0.9883832879230785
1.0,2.0,-3.0,-0.5323517455763951,0.9883832879230785
1.0,2.0,-2.5,-0.4429284872293937,0.9883832879230785
1.0,2.0,-2.0,-0.35350522888239255,0.9883832879230785
1.0,2.0,-1.5,-0.2640819705353914,0.9883832879230785
1.0,2.0,-1.0,-0.17465871218839013,0.9883832879230785
1.0,2.0,-0.5,-0.07780411010170352,0.9883832879230785
1.0,2.0,0.0,0.057769505969090626,0.9883832879230785
1.0,2.0,0.5,0.21683913415709882,0.9883832879230785
1.0,2.0,1.0,0.38229887762357856,0.9883832879230785
1.0,2.0,1.5,0.5477586210900582,0.9883832879230785
1.0,2.0,2.0,0.7122225585258202,0.9883832879230785
1.0,2.0,2.5,0.8733798292153898,0.9883832879230785
1.0,2.0,3.0,1.034537099904959,0.9883832879230785
1.0,2.0,3.5,1.1966463771244713,0.9883832879230785
1.0,3.0,-3.5,-1.028819547837354,0.9956298905777741
1.0,3.0,-3.0,-0.8776654441170971,0.9956298905777741
1.0,3.0,-2.5,-0.72651134039684,0.9956298905777741
1.0,3.0,-2.0,-0.5753572366765827,0.9956298905777741
1.0,3.0,-1.5,-0.4242031329563256,0.9956298905777741
1.0,3.0,-1.0,-0.27304902923606844,0.9956298905777741
1.0,3.0,-0.5,-0.11079790345749635,0.9956298905777741
1.0,3.0,0.0,0.08418542915297539,0.9956298905777741
1.0,3.0,0.5,0.2957023152773174,0.9956298905777741
1.0,3.0,1.0,0.49739580473732337,0.9956298905777741
1.0,3.0,1.5,0.6996768434715669,0.9956298905777741
1.0,3.0,2.0,0.8983346608773768,0.9956298905777741
1.0,3.0,2.5,1.0908617990537572,0.9956298905777741
1.0,3.0,3.0,1.283388937230138,0.9956298905777741
1.0,3.0,3.5,1.4759160754065181,0.9956298905777741
1.0,4.0,-3.5,-1.3202614605341372,0.9978175674709409
1.0,4.0,-3.0,-1.1289300136029956,0.9978175674709409
1.0,4.0,-2.5,-0.937598566671854,0.9978175674709409
1.0,4.0,-2.0,-0.7462671197407126,0.9978175674709409
1.0,4.0,-1.5,-0.5549356728095711,0.9978175674709409
1.0,4.0,-1.0,-0.36360422587842967,0.9978175674709409
1.0,4.0,-0.5,-0.14913807445787886,0.9978175674709409
1.0,4.0,0.0,0.13265474626962406,0.9978175674709409
1.0,4.0,0.5,0.36776259298368086,0.9978175674709409
