ϵ_π,ϵ_y,π,y,Eπ,Ey,Eπ_lead,r,y_lag,path_number
0.0,0.0,-0.61,-3.5,0.0,0.0,0.0,0.0,NaN,1.0
0.0,0.0,-0.4578947368421052,-2.6533492822966505,0.0,0.0,0.0,0.0,-3.5,1.0
0.0,0.0,-0.34234449760765545,-2.010850991114149,0.0,0.0,0.0,0.0,-2.6533492822966505,1.0
0.0,0.0,-0.25452836637047155,-1.5232604459791745,0.0,0.0,0.0,0.0,-2.010850991114149,1.0
0.0,0.0,-0.18775299375948717,-1.1532110630556827,0.0,0.0,0.0,0.0,-1.5232604459791745,1.0
0.0,0.0,-0.13693941116495056,-0.8723492780702063,0.0,0.0,0.0,0.0,-1.1532110630556827,1.0
0.0,0.0,-0.09823362869625289,-0.6591605448222392,0.0,0.0,0.0,0.0,-0.8723492780702063,1.0
0.0,0.0,-0.06871115942646415,-0.49731971725773383,0.0,0.0,0.0,0.0,-0.6591605448222392,1.0
0.0,0.0,-0.04615281427744995,-0.37443933030654614,0.0,0.0,0.0,0.0,-0.49731971725773383,1.0
0.0,0.0,-0.028874576591708046,-0.28111980365826056,0.0,0.0,0.0,0.0,-0.37443933030654614,1.0
0.0,0.0,-0.015598512009257912,-0.21022874265737743,0.0,0.0,0.0,0.0,-0.28111980365826056,1.0
0.0,0.0,-0.005354815659356884,-0.15635407657004882,0.0,0.0,0.0,0.0,-0.21022874265737743,1.0
0.0,0.0,0.0025925138622584806,-0.11538910349271518,0.0,0.0,0.0,0.0,-0.15635407657004882,1.0
0.0,0.0,0.008802072670414988,-0.08421762514344686,0.0,0.0,0.0,0.0,-0.11538910349271518,1.0
0.0,0.0,0.01369784623956561,-0.060475029190403005,0.0,0.0,0.0,0.0,-0.08421762514344686,1.0
0.0,0.0,0.017601681788511323,-0.04236700006589095,0.0,0.0,0.0,0.0,-0.060475029190403005,1.0
0.0,0.0,0.020757928201900915,-0.028531957891374346,0.0,0.0,0.0,0.0,-0.04236700006589095,1.0
0.0,0.0,0.023352132733125926,-0.017936678001435266,0.0,0.0,0.0,0.0,-0.028531957891374346,1.0
0.0,0.0,0.025525228034944933,-0.00979708768460894,0.0,0.0,0.0,0.0,-0.017936678001435266,1.0
0.0,0.0,0.027384297283342504,-0.0035181672278910814,0.0,0.0,0.0,0.0,-0.00979708768460894,1.0
0.0,0.0,0.029010742783933747,0.0013516528213183467,0.0,0.0,0.0,0.0,-0.0035181672278910814,1.0
0.0,0.0,0.030466484360913506,0.005155094761100487,0.0,0.0,0.0,0.0,0.0013516528213183467,1.0
0.0,0.0,0.031798662760903665,0.008152290394444366,0.0,0.0,0.0,0.0,0.005155094761100487,1.0
0.0,0.0,0.03304320867492784,0.010540704461948975,0.0,0.0,0.0,0.0,0.008152290394444366,1.0
0.0,0.0,0.03422755100192673,0.012470252465601586,0.0,0.0,0.0,0.0,0.010540704461948975,1.0
0.0,0.0,0.035372671977522786,0.014054772029912723,0.0,0.0,0.0,0.0,0.012470252465601586,1.0
0.0,0.0,0.03649466671160752,0.015380727352946807,0.0,0.0,0.0,0.0,0.014054772029912723,1.0
0.0,0.0,0.03760592667785281,0.016513814145914577,0.0,0.0,0.0,0.0,0.015380727352946807,1.0
0.0,0.0,0.0387160378637443,0.017503971479044752,0.0,0.0,0.0,0.0,0.016513814145914577,1.0
0.0,0.0,0.039832462410307426,0.018389184800178947,0.0,0.0,0.0,0.0,0.017503971479044752,1.0
0.0,0.0,0.61,3.5,0.0,0.0,0.0,0.0,NaN,2.0
0.0,0.0,0.4578947368421052,2.6533492822966505,0.0,0.0,0.0,0.0,3.5,2.0
0.0,0.0,0.34234449760765545,2.010850991114149,0.0,0.0,0.0,0.0,2.6533492822966505,2.0
