y_lag,y,pi,Epi_lead,Rsq_Epi,version,path_number
-3.5,-3.3594041677044295,-2.2074399102978126,-2.1469087663665007,0.9999829554782543,Average,4
-3.49,-3.3502139626204563,-2.2033824777395443,-2.1431173969182513,0.9999829554782543,Average,4
-3.48,-3.3410237575364823,-2.199325045181276,-2.1393260274700014,0.9999829554782543,Average,4
-3.47,-3.331833552452509,-2.1952676126230077,-2.1355346580217525,0.9999829554782543,Average,4
-3.46,-3.322643347368536,-2.191210180064739,-2.1317432885735026,0.9999829554782543,Average,4
-3.45,-3.3134531422845623,-2.1871527475064707,-2.127951919125253,0.9999829554782543,Average,4
-3.44,-3.304263406639136,-2.183093746678178,-2.124158699595999,0.9999829554782543,Average,4
-3.43,-3.2950821868494082,-2.1790062966283505,-2.12033191864967,0.9999829554782543,Average,4
-3.42,-3.28590096705968,-2.174918846578523,-2.11650513770334,0.9999829554782543,Average,4
-3.41,-3.276719747269952,-2.170831396528696,-2.112678356757011,0.9999829554782543,Average,4
-3.4,-3.267538527480224,-2.166743946478868,-2.108851575810681,0.9999829554782543,Average,4
-3.39,-3.258357307690497,-2.162656496429041,-2.1050247948643515,0.9999829554782543,Average,4
-3.38,-3.2491760879007687,-2.1585690463792133,-2.1011980139180224,0.9999829554782543,Average,4
-3.37,-3.239994868111041,-2.154481596329386,-2.097371232971693,0.9999829554782543,Average,4
-3.36,-3.2308136483213126,-2.1503941462795586,-2.0935444520253634,0.9999829554782543,Average,4
-3.35,-3.221632428531585,-2.1463066962297312,-2.089717671079034,0.9999829554782543,Average,4
-3.34,-3.212451208741857,-2.1422192461799034,-2.0858908901327045,0.9999829554782543,Average,4
-3.33,-3.2032699889521292,-2.138131796130076,-2.082064109186375,0.9999829554782543,Average,4
-3.32,-3.194088769162401,-2.1340443460802487,-2.0782373282400455,0.9999829554782543,Average,4
-3.31,-3.1849075493726735,-2.1299568960304214,-2.074410547293716,0.9999829554782543,Average,4
-3.3,-3.1757263295829454,-2.125869445980594,-2.0705837663473865,0.9999829554782543,Average,4
-3.29,-3.166545109793218,-2.1217819959307667,-2.0667569854010575,0.9999829554782543,Average,4
-3.28,-3.1573638900034897,-2.117694545880939,-2.062930204454728,0.9999829554782543,Average,4
-3.27,-3.148182670213762,-2.113607095831112,-2.0591034235083985,0.9999829554782543,Average,4
-3.26,-3.139001450424034,-2.109519645781284,-2.055276642562069,0.9999829554782543,Average,4
-3.25,-3.1298202306343064,-2.105432195731457,-2.0514498616157395,0.9999829554782543,Average,4
-3.24,-3.1206390108445787,-2.1013447456816294,-2.04762308066941,0.9999829554782543,Average,4
-3.23,-3.11145779105485,-2.0972572956318016,-2.0437962997230805,0.9999829554782543,Average,4
-3.22,-3.102276571265123,-2.0931698455819747,-2.0399695187767515,0.9999829554782543,Average,4
-3.21,-3.0930953514753945,-2.089082395532147,-2.0361427378304215,0.9999829554782543,Average,4
-3.2,-3.0839141316856673,-2.0849949454823196,-2.0323159568840925,0.9999829554782543,Average,4
-3.19,-3.074732911895939,-2.0809074954324918,-2.028489175937763,0.9999829554782543,Average,4
-3.18,-3.065551692106211,-2.076820045382665,-2.0246623949914335,0.9999829554782543,Average,4
-3.17,-3.0563704723164835,-2.0727325953328375,-2.020835614045104,0.9999829554782543,Average,4
-3.16,-3.0471892525267554,-2.0686451452830097,-2.0170088330987745,0.9999829554782543,Average,4
-3.15,-3.038008032737027,-2.0645576952331823,-2.013182052152445,0.9999829554782543,Average,4
-3.14,-3.0288268129472997,-2.060470245183355,-2.0093552712061156,0.9999829554782543,Average,4
-3.13,-3.0196455931575716,-2.056382795133527,-2.005528490259786,0.9999829554782543,Average,4
-3.12,-3.010464373367844,-2.0522953450837003,-2.001701709313457,0.9999829554782543,Average,4
-3.11,-3.001283153578116,-2.0482078950338725,-1.9978749283671275,0.9999829554782543,Average,4
-3.1,-2.9921019337883883,-2.0441204449840455,-1.9940481474207978,0.9999829554782543,Average,4
-3.09,-2.98292071399866,-2.0400329949342177,-1.9902213664744683,0.9999829554782543,Average,4
-3.08,-2.973739494208932,-2.0359455448843904,-1.986394585528139,0.9999829554782543,Average,4
-3.07,-2.964558274419204,-2.031858094834563,-1.9825678045818096,0.9999829554782543,Average,4
-3.06,-2.9553770546294764,-2.0277706447847357,-1.9787410236354803,0.9999829554782543,Average,4
-3.05,-2.946195834839749,-2.023683194734908,-1.9749142426891506,0.9999829554782543,Average,4
-3.04,-2.9370146150500207,-2.019595744685081,-1.9710874617428213,0.9999829554782543,Average,4
-3.03,-2.9278333952602926,-2.015508294635253,-1.9672606807964916,0.9999829554782543,Average,4
-3.02,-2.918652175470565,-2.011420844585426,-1.9634338998501624,0.9999829554782543,Average,4
-3.01,-2.9094709556808365,-2.007333394535598,-1.9596071189038329,0.9999829554782543,Average,4
-3,-2.9002897358911093,-2.0032459444857706,-1.9557803379575036,0.9999829554782543,Average,4
-2.99,-2.8911085161013816,-1.9991584944359437,-1.9519535570111741,0.9999829554782543,Average,4
-2.98,-2.8819272963116536,-1.995071044386116,-1.9481267760648446,0.9999829554782543,Average,4
-2.97,-2.872746076521926,-1.9909835943362888,-1.9442999951185154,0.9999829554782543,Average,4
-2.96,-2.863564856732198,-1.9868961442864612,-1.9404732141721857,0.9999829554782543,Average,4
-2.95,-2.8543836369424698,-1.9828086942366336,-1.9366464332258564,0.9999829554782543,Average,4
-2.94,-2.845202417152742,-1.9787212441868063,-1.9328196522795267,0.9999829554782543,Average,4
-2.93,-2.8360211973630145,-1.974633794136979,-1.9289928713331974,0.9999829554782543,Average,4
-2.92,-2.826839977573286,-1.9705463440871513,-1.925166090386868,0.9999829554782543,Average,4
-2.91,-2.8176587577835583,-1.966458894037324,-1.9213393094405387,0.9999829554782543,Average,4
-2.9,-2.8084775379938303,-1.9623714439874964,-1.917512528494209,0.9999829554782543,Average,4
-2.89,-2.7992963182041026,-1.958283993937669,-1.9136857475478797,0.9999829554782543,Average,4
-2.88,-2.7901150984143746,-1.9541965438878417,-1.9098589666015502,0.9999829554782543,Average,4
-2.87,-2.780933878624647,-1.9501090938380141,-1.9060321856552207,0.9999829554782543,Average,4
-2.86,-2.771752658834919,-1.946021643788187,-1.9022054047088912,0.9999829554782543,Average,4
-2.85,-2.762571439045191,-1.9419341937383596,-1.8983786237625617,0.9999829554782543,Average,4
-2.84,-2.753390219255463,-1.9378467436885318,-1.8945518428162322,0.9999829554782543,Average,4
-2.83,-2.744208999465735,-1.9337592936387042,-1.890725061869903,0.9999829554782543,Average,4
-2.82,-2.735027779676007,-1.9296718435888771,-1.8868982809235735,0.9999829554782543,Average,4
-2.81,-2.7258465598862798,-1.9255843935390498,-1.8830714999772442,0.9999829554782543,Average,4
-2.8,-2.7166653400965517,-1.9214969434892222,-1.8792447190309147,0.9999829554782543,Average,4
-2.79,-2.707484120306824,-1.9174094934393948,-1.8754179380845852,0.9999829554782543,Average,4
-2.78,-2.698302900517096,-1.913322043389567,-1.8715911571382557,0.9999829554782543,Average,4
-2.77,-2.6891216807273683,-1.90923459333974,-1.8677643761919263,0.9999829554782543,Average,4
-2.76,-2.67994046093764,-1.9051471432899123,-1.8639375952455968,0.9999829554782543,Average,4
-2.75,-2.670761733972458,-1.9010183247329115,-1.8600694805451954,0.9999829554782543,Average,4
-2.74,-2.661584880193086,-1.896858420594396,-1.8561703063778383,0.9999829554782543,Average,4
-2.73,-2.6524080264137133,-1.8926985164558796,-1.852271132210481,0.9999829554782543,Average,4
-2.72,-2.6432311726343407,-1.8885386123173638,-1.8483719580431242,0.9999829554782543,Average,4
-2.71,-2.6340543188549685,-1.8843787081788475,-1.8444727838757669,0.9999829554782543,Average,4
-2.7,-2.6248774650755964,-1.8802188040403314,-1.8405736097084098,0.9999829554782543,Average,4
-2.69,-2.6157006112962238,-1.8760588999018153,-1.8366744355410525,0.9999829554782543,Average,4
-2.68,-2.6065260630653913,-1.8718595010160246,-1.8327343659449822,0.9999829554782543,Average,4
-2.67,-2.597357840811395,-1.8675381891111156,-1.8286687365963414,0.9999829554782543,Average,4
-2.66,-2.5881916901370206,-1.8631728843222244,-1.824557744052028,0.9999829554782543,Average,4
-2.65,-2.5790279127009077,-1.8587266567709733,-1.8203530752103882,0.9999829554782543,Average,4
-2.64,-2.5698652529568378,-1.8542519739886136,-1.8161188859812634,0.9999829554782543,Average,4
-2.63,-2.560702593212767,-1.8497772912062542,-1.8118846967521383,0.9999829554782543,Average,4
-2.62,-2.5515399334686975,-1.8453026084238946,-1.8076505075230134,0.9999829554782543,Average,4
-2.61,-2.542377273724627,-1.840827925641535,-1.8034163182938883,0.9999829554782543,Average,4
-2.6,-2.533215127110867,-1.836344438151346,-1.799174429701858,0.9999829554782543,Average,4
-2.59,-2.5240552065668576,-1.831822753943133,-1.794899139616039,0.9999829554782543,Average,4
-2.58,-2.514895286022848,-1.8273010697349206,-1.7906238495302205,0.9999829554782543,Average,4
-2.57,-2.505735365478839,-1.8227793855267078,-1.7863485594444017,0.9999829554782543,Average,4
-2.56,-2.4965754449348294,-1.818257701318495,-1.7820732693585832,0.9999829554782543,Average,4
-2.55,-2.4874156413989796,-1.8137314946422203,-1.777793541970275,0.9999829554782543,Average,4
-2.54,-2.4782573871572655,-1.8091454063879142,-1.7734550606733408,0.9999829554782543,Average,4
-2.53,-2.4690991329155505,-1.8045593181336077,-1.7691165793764059,0.9999829554782543,Average,4
-2.52,-2.459940878673837,-1.7999732298793016,-1.7647780980794716,0.9999829554782543,Average,4
-2.51,-2.4507826244321222,-1.7953871416249951,-1.760439616782537,0.9999829554782543,Average,4
